#F f1f2_EPDL97.dat
#C  This file has been created using f1f2_EPDL97.pro 
#D  Fri Sep 11 10:19:50 1998
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UIDL xf1f2
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD 
#UD The anomalous scattering factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://epicws.cped.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD The data in this file are valid in the energy range 1.0 eV to 1.0 MeV 
#UD for the elements Z = 1 - 100.
#UD Column description: 1:PhotonEnergy[eV]  2:f1  3:f2
#UD 
#S  1 H 
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     1.000000   0.003851712      0.000000 
     3.006048    0.03809571      0.000000 
     4.918349     0.1233452      0.000000 
     6.075000     0.2269065      0.000000 
     6.834375     0.3392507      0.000000 
     7.369288     0.4574884      0.000000 
     7.749457     0.5746379      0.000000 
     8.013003     0.6805458      0.000000 
     8.189822     0.7674884      0.000000 
     8.352252     0.8621957      0.000000 
     8.452690     0.9296871      0.000000 
     8.546851      1.000574      0.000000 
     8.635127      1.074643      0.000000 
     8.717886      1.152219      0.000000 
     8.795472      1.233371      0.000000 
     8.868209      1.318028      0.000000 
     8.936400      1.406221      0.000000 
     9.060264      1.593742      0.000000 
     9.169127      1.795943      0.000000 
     9.264807      2.012947      0.000000 
     9.387050      2.365727      0.000000 
     9.487774      2.749493      0.000000 
     9.570768      3.161485      0.000000 
     9.659162      3.746669      0.000000 
     9.727443      4.360716      0.000000 
     9.780187      4.987632      0.000000 
     9.839296      5.946219      0.000000 
     9.878896      6.837836      0.000000 
     9.912154      7.855318      0.000000 
     9.939390      9.023216      0.000000 
     9.957869      10.23897      0.000000 
     9.959266      10.36095      0.000000 
     9.968697      11.18446     0.4520955 
     10.00216      13.40866      2.056141 
     10.00829      13.81610      2.346878 
     10.03281      15.76501      4.286764 
     10.03587      16.00826      4.654032 
     10.05732      17.40007      7.228074 
     10.06575      17.94708      8.644896 
     10.08490      18.47164      11.86343 
     10.09026      18.61845      12.97756 
     10.11477      17.83063      18.07255 
     10.12784      16.58239      20.78953 
     10.13086      16.29402      21.37888 
     10.14762      13.87969      24.65010 
     10.15691      11.99751      26.46340 
     10.17504      8.042591      28.83233 
     10.17928      6.903776      29.38636 
     10.18248      5.920188      29.80443 
     10.19721      2.126382      30.38913 
     10.20036      1.271000      30.51415 
     10.20137     0.9826310      30.55426 
     10.20269     0.5873539      30.60664 
     10.20386     0.2113593      30.65310 
     10.20450   -0.03243101      30.67848 
     10.20494    -0.1926900      30.69596 
     10.20660     0.3321382      30.76184 
     10.20764     0.6339508      30.80314 
     10.20830     0.8254857      30.76322 
     10.20895      1.005908      30.72396 
     10.21019      1.348255      30.64895 
     10.21356      2.238612      30.44522 
     10.22603      5.459616      29.69126 
     10.23151      7.098217      29.35995 
     10.23288      7.434777      29.27708 
     10.23770      8.618207      28.57672 
     10.25783      12.93382      25.65143 
     10.26035      13.47413      25.13727 
     10.28100      16.50886      20.92439 
     10.29642      17.81124      17.77841 
     10.29944      18.06626      17.16023 
     10.32352      18.60516      12.23043 
     10.32697      18.47217      11.52399 
     10.35148      17.52750      7.439484 
     10.37599      15.82913      4.433400 
     10.40051      13.97706      2.438850 
     10.41698      12.73303      1.624133 
     10.43728      11.35868     0.6199655 
     10.44800      10.63295    0.07746692 
     10.44953      10.49779      0.000000 
     10.45877      9.681934      0.000000 
     10.48485      8.322947      0.000000 
     10.51552      7.230501      0.000000 
     10.55530      6.206536      0.000000 
     10.60346      5.303157      0.000000 
     10.65884      4.534493      0.000000 
     10.72872      3.814236      0.000000 
     10.79460      3.295856      0.000000 
     10.88626      2.737329      0.000000 
     10.96960      2.336292      0.000000 
     11.04616      2.026805      0.000000 
     11.13788      1.706109      0.000000 
     11.21849      1.453844      0.000000 
     11.29162      1.239264      0.000000 
     11.41961     0.8739660      0.000000 
     11.46760     0.7332232      0.000000 
     11.54635     0.4863507      0.000000 
     11.61729     0.2320874      0.000000 
     11.68500   -0.06438100      0.000000 
     11.73416    -0.3413700      0.000000 
     11.77135   -0.07495499      0.000000 
     11.79118     0.1156502      0.000000 
     11.80226     0.2612613      0.000000 
     11.80357     0.2849146      0.000000 
     11.80402     0.2930453   0.003513614 
     11.80665     0.3405490    0.02371470 
     11.81771     0.4834782     0.1086612 
     11.84533     0.7868229     0.3207865 
     11.85350     0.8818386     0.3835342 
     11.85759     0.9337996     0.4149465 
     11.85963     0.9621146     0.4304534 
     11.86168     0.9950557     0.4460364 
     11.86349      1.024770     0.4690064 
     11.86690      1.071937     0.5122915 
     11.88477      1.296684     0.7390826 
     11.88924      1.359979     0.7958149 
     11.89073      1.386120     0.8147219 
     11.89254      1.417878     0.8502913 
     11.89595      1.465062     0.9173012 
     11.92160      1.766156      1.421404 
     11.92500      1.806063      1.512106 
     11.93096      1.856093      1.671113 
     11.95065      1.975005      2.196447 
     11.95406      1.995596      2.309847 
     11.96448      1.999947      2.656399 
     11.98152      1.935151      3.223127 
     11.99443      1.808632      3.652468 
     12.00225      1.690370      3.912541 
     12.00460      1.654828      3.986923 
     12.01420      1.461563      4.290786 
     12.01965      1.343577      4.463270 
     12.02374      1.247428      4.592720 
     12.02680      1.169986      4.689555 
     12.02910      1.108292      4.762354 
     12.03255      1.008244      4.871567 
     12.03427     0.9533427      4.926001 
     12.03513     0.9237788      4.953203 
     12.03690     0.8552236      5.009249 
     12.05449     0.2701800      5.376581 
     12.06317   -0.06426501      5.557853 
     12.06838    -0.3034192      5.666647 
     12.07033    -0.3929350      5.679735 
     12.08780     0.2986620      5.796991 
     12.09233     0.5014481      5.827391 
     12.09366     0.5696034      5.836321 
     12.09455     0.6239252      5.842291 
     12.09718     0.7530515      5.859945 
     12.09880     0.8256849      5.845708 
     12.10185     0.9551830      5.818898 
     12.10717      1.170601      5.772144 
     12.11916      1.648265      5.666766 
     12.12315      1.831805      5.631698 
     12.12582      1.957451      5.608229 
     12.13489      2.299402      5.397888 
     12.15743      3.052142      4.875188 
     12.17456      3.467624      4.314697 
     12.19125      3.772842      3.768581 
     12.20316      3.886079      3.378880 
     12.21031      3.954065      3.144087 
     12.23528      3.988488      2.324164 
